filename,language,label,source
Karnataka_speaker_01_List19_10.wav,english,human,commonvoice
Karnataka_speaker_01_List19_2.wav,english,human,commonvoice
Karnataka_speaker_01_List19_3.wav,english,human,commonvoice
Karnataka_speaker_01_List19_4.wav,english,human,commonvoice
Karnataka_speaker_01_List19_5.wav,english,human,commonvoice
Karnataka_speaker_01_List19_6.wav,english,human,commonvoice
Karnataka_speaker_01_List19_7.wav,english,human,commonvoice
Karnataka_speaker_01_List19_8.wav,english,human,commonvoice
Karnataka_speaker_01_List19_9.wav,english,human,commonvoice
Karnataka_speaker_01_List20_1.wav,english,human,commonvoice
common_voice_hi_23827800.mp3,hindi,human,commonvoice
common_voice_hi_23827801.mp3,hindi,human,commonvoice
common_voice_hi_23827802.mp3,hindi,human,commonvoice
common_voice_hi_23827803.mp3,hindi,human,commonvoice
common_voice_hi_23827804.mp3,hindi,human,commonvoice
common_voice_hi_23828667.mp3,hindi,human,commonvoice
common_voice_hi_23828668.mp3,hindi,human,commonvoice
common_voice_hi_23828669.mp3,hindi,human,commonvoice
common_voice_hi_23828670.mp3,hindi,human,commonvoice
common_voice_hi_23828671.mp3,hindi,human,commonvoice
3827.mp3,malyalam,human,commonvoice
3889.mp3,malyalam,human,commonvoice
3892.mp3,malyalam,human,commonvoice
3904.mp3,malyalam,human,commonvoice
3947.mp3,malyalam,human,commonvoice
3960.mp3,malyalam,human,commonvoice
3979.mp3,malyalam,human,commonvoice
3993.mp3,malyalam,human,commonvoice
3996.mp3,malyalam,human,commonvoice
4008.mp3,malyalam,human,commonvoice
4858.mp3,tamil,human,commonvoice
4864.mp3,tamil,human,commonvoice
4890.mp3,tamil,human,commonvoice
4909.mp3,tamil,human,commonvoice
4918.mp3,tamil,human,commonvoice
4920.mp3,tamil,human,commonvoice
4928.mp3,tamil,human,commonvoice
4944.mp3,tamil,human,commonvoice
4946.mp3,tamil,human,commonvoice
4995.mp3,tamil,human,commonvoice
3614.mp3,telugu,human,commonvoice
3622.mp3,telugu,human,commonvoice
3634.mp3,telugu,human,commonvoice
3645.mp3,telugu,human,commonvoice
3667.mp3,telugu,human,commonvoice
3685.mp3,telugu,human,commonvoice
3713.mp3,telugu,human,commonvoice
3726.mp3,telugu,human,commonvoice
3740.mp3,telugu,human,commonvoice
3758.mp3,telugu,human,commonvoice
en_ai_01.wav,english,ai,tts
en_ai_02.wav,english,ai,tts
en_ai_03.wav,english,ai,tts
en_ai_04.wav,english,ai,tts
en_ai_05.wav,english,ai,tts
en_ai_06.wav,english,ai,tts
en_ai_07.wav,english,ai,tts
en_ai_08.wav,english,ai,tts
en_ai_09.wav,english,ai,tts
en_ai_10.wav,english,ai,tts
hi_ai_01.wav,hindi,ai,tts
hi_ai_02.wav,hindi,ai,tts
hi_ai_03.wav,hindi,ai,tts
hi_ai_04.wav,hindi,ai,tts
hi_ai_05.wav,hindi,ai,tts
hi_ai_06.wav,hindi,ai,tts
hi_ai_07.wav,hindi,ai,tts
hi_ai_08.wav,hindi,ai,tts
hi_ai_09.wav,hindi,ai,tts
hi_ai_10.wav,hindi,ai,tts
ml_ai_01.wav,malyalam,ai,tts
ml_ai_02.wav,malyalam,ai,tts
ml_ai_03.wav,malyalam,ai,tts
ml_ai_04.wav,malyalam,ai,tts
ml_ai_05.wav,malyalam,ai,tts
ml_ai_06.wav,malyalam,ai,tts
ml_ai_07.wav,malyalam,ai,tts
ml_ai_08.wav,malyalam,ai,tts
ml_ai_09.wav,malyalam,ai,tts
ml_ai_10.wav,malyalam,ai,tts
ta_ai_01.wav,tamil,ai,tts
ta_ai_02.wav,tamil,ai,tts
ta_ai_03.wav,tamil,ai,tts
ta_ai_04.wav,tamil,ai,tts
ta_ai_05.wav,tamil,ai,tts
ta_ai_06.wav,tamil,ai,tts
ta_ai_07.wav,tamil,ai,tts
ta_ai_08.wav,tamil,ai,tts
ta_ai_09.wav,tamil,ai,tts
ta_ai_10.wav,tamil,ai,tts
te_ai_01.wav,telugu,ai,tts
te_ai_02.wav,telugu,ai,tts
te_ai_03.wav,telugu,ai,tts
te_ai_04.wav,telugu,ai,tts
te_ai_05.wav,telugu,ai,tts
te_ai_06.wav,telugu,ai,tts
te_ai_07.wav,telugu,ai,tts
te_ai_08.wav,telugu,ai,tts
te_ai_09.wav,telugu,ai,tts
te_ai_10.wav,telugu,ai,tts
