filename,language,label,source
Karnataka_speaker_01_72_1.wav,english,human,commonvoice
Karnataka_speaker_01_72_10.wav,english,human,commonvoice
Karnataka_speaker_01_72_2.wav,english,human,commonvoice
Karnataka_speaker_01_72_3.wav,english,human,commonvoice
Karnataka_speaker_01_72_4.wav,english,human,commonvoice
Karnataka_speaker_01_72_5.wav,english,human,commonvoice
Karnataka_speaker_01_72_6.wav,english,human,commonvoice
Karnataka_speaker_01_72_7.wav,english,human,commonvoice
Karnataka_speaker_01_72_8.wav,english,human,commonvoice
Karnataka_speaker_01_72_9.wav,english,human,commonvoice
Karnataka_speaker_01_List11_1.wav,english,human,commonvoice
Karnataka_speaker_01_List11_10.wav,english,human,commonvoice
Karnataka_speaker_01_List11_11.wav,english,human,commonvoice
Karnataka_speaker_01_List11_12.wav,english,human,commonvoice
Karnataka_speaker_01_List11_2.wav,english,human,commonvoice
Karnataka_speaker_01_List11_3.wav,english,human,commonvoice
Karnataka_speaker_01_List11_4.wav,english,human,commonvoice
Karnataka_speaker_01_List11_5.wav,english,human,commonvoice
Karnataka_speaker_01_List11_6.wav,english,human,commonvoice
Karnataka_speaker_01_List11_7.wav,english,human,commonvoice
Karnataka_speaker_01_List11_8.wav,english,human,commonvoice
Karnataka_speaker_01_List11_9.wav,english,human,commonvoice
Karnataka_speaker_01_List12_1.wav,english,human,commonvoice
Karnataka_speaker_01_List12_10.wav,english,human,commonvoice
Karnataka_speaker_01_List12_2.wav,english,human,commonvoice
Karnataka_speaker_01_List12_3.wav,english,human,commonvoice
Karnataka_speaker_01_List12_4.wav,english,human,commonvoice
Karnataka_speaker_01_List12_5.wav,english,human,commonvoice
Karnataka_speaker_01_List12_6.wav,english,human,commonvoice
Karnataka_speaker_01_List12_7.wav,english,human,commonvoice
Karnataka_speaker_01_List12_8.wav,english,human,commonvoice
Karnataka_speaker_01_List12_9.wav,english,human,commonvoice
Karnataka_speaker_01_List13_1.wav,english,human,commonvoice
Karnataka_speaker_01_List13_10.wav,english,human,commonvoice
Karnataka_speaker_01_List13_2.wav,english,human,commonvoice
Karnataka_speaker_01_List13_3.wav,english,human,commonvoice
Karnataka_speaker_01_List13_4.wav,english,human,commonvoice
Karnataka_speaker_01_List13_5.wav,english,human,commonvoice
Karnataka_speaker_01_List13_6.wav,english,human,commonvoice
Karnataka_speaker_01_List13_7.wav,english,human,commonvoice
Karnataka_speaker_01_List13_8.wav,english,human,commonvoice
Karnataka_speaker_01_List13_9.wav,english,human,commonvoice
Karnataka_speaker_01_List14_1.wav,english,human,commonvoice
Karnataka_speaker_01_List14_10.wav,english,human,commonvoice
Karnataka_speaker_01_List14_2.wav,english,human,commonvoice
Karnataka_speaker_01_List14_3.wav,english,human,commonvoice
Karnataka_speaker_01_List14_4.wav,english,human,commonvoice
Karnataka_speaker_01_List14_5.wav,english,human,commonvoice
Karnataka_speaker_01_List14_6.wav,english,human,commonvoice
Karnataka_speaker_01_List14_7.wav,english,human,commonvoice
Karnataka_speaker_01_List14_8.wav,english,human,commonvoice
Karnataka_speaker_01_List14_9.wav,english,human,commonvoice
Karnataka_speaker_01_List15_1.wav,english,human,commonvoice
Karnataka_speaker_01_List15_10.wav,english,human,commonvoice
Karnataka_speaker_01_List15_2.wav,english,human,commonvoice
Karnataka_speaker_01_List15_3.wav,english,human,commonvoice
Karnataka_speaker_01_List15_4.wav,english,human,commonvoice
Karnataka_speaker_01_List15_5.wav,english,human,commonvoice
Karnataka_speaker_01_List15_6.wav,english,human,commonvoice
Karnataka_speaker_01_List15_7.wav,english,human,commonvoice
Karnataka_speaker_01_List15_8.wav,english,human,commonvoice
Karnataka_speaker_01_List15_9.wav,english,human,commonvoice
Karnataka_speaker_01_List16_1.wav,english,human,commonvoice
